,Treatment,time,logscale,organism,control,rep1,rep2,rep3,algalHost,algalHostTaxon,virusName,Method,origSource
ex35 ,Replete,0,FALSE,H,TRUE,500000,500000,500000,,,NA,,
ex35 ,Replete,1,FALSE,H,TRUE,1612384.615,1683615.385,1215846.154,,,NA,,
ex35 ,Replete,2,FALSE,H,TRUE,2370571.429,2114142.857,2011142.857,,,NA,,
ex35 ,Replete,5,FALSE,H,TRUE,5823600,NA,5391000,,,NA,,
ex35 ,Replete,6,FALSE,H,TRUE,6687900,6441500,6454000,,,NA,,
ex35 ,Replete,7,FALSE,H,TRUE,8244700,7573800,7419700,,,NA,,
ex35 ,Replete,8,FALSE,H,TRUE,8470571.429,8008285.714,7720428.571,,,NA,,
ex35 ,Replete,9,FALSE,H,TRUE,8208142.857,8013000,7614285.714,,,NA,,
ex35 ,Replete,12,FALSE,H,TRUE,6908142.857,6540428.571,8046571.429,,,NA,,
ex35 ,Replete,0,FALSE,H,FALSE,5.00E+05,5.00E+05,5.00E+05,,,CtenDNAV,,
ex35 ,Replete,0,FALSE,V,FALSE,7500000,7500000,7500000,,,CtenDNAV,,
ex35 ,Replete,1,FALSE,H,FALSE,1211692.308,1145615.385,1156769.231,,,CtenDNAV,,
ex35 ,Replete,1,FALSE,V,FALSE,na,na,na,,,CtenDNAV,,
ex35 ,Replete,2,FALSE,H,FALSE,2239428.571,2208428.571,2161571.429,,,CtenDNAV,,
ex35 ,Replete,2,FALSE,V,FALSE,6216759243,4668887967,NA,,,CtenDNAV,,
ex35 ,Replete,5,FALSE,H,FALSE,2376600,2379800,2364700,,,CtenDNAV,,
ex35 ,Replete,5,FALSE,V,FALSE,NA,NA,NA,,,CtenDNAV,,
ex35 ,Replete,6,FALSE,H,FALSE,942000,526300,1024500,,,CtenDNAV,,
ex35 ,Replete,6,FALSE,V,FALSE,NA,NA,NA,,,CtenDNAV,,
ex35 ,Replete,7,FALSE,H,FALSE,212900,70500,204700,,,CtenDNAV,,
ex35 ,Replete,8,FALSE,H,FALSE,142.8571429,428.5714286,0,,,CtenDNAV,,
ex35 ,Replete,8,FALSE,V,FALSE,71052251911,2.87E+11,11453516970,,,CtenDNAV,,
ex35 ,Replete,9,FALSE,H,FALSE,0,0,0,,,CtenDNAV,,
ex35 ,Replete,12,FALSE,H,FALSE,0,0,0,,,CtenDNAV,,
ex35 ,Replete/Fe-limited,0,FALSE,H,FALSE,5.00E+05,5.00E+05,5.00E+05,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,0,FALSE,V,FALSE,7500000,7500000,7500000,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,1,FALSE,H,FALSE,1046692.308,1091230.769,1230692.308,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,2,FALSE,H,FALSE,1996714.286,2117000,2185571.429,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,2,FALSE,V,FALSE,1377764133,3388025288,NA,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,5,FALSE,H,FALSE,4501900,4304400,4319700,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,6,FALSE,H,FALSE,4093700,3971400,3857300,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,7,FALSE,H,FALSE,2154900,2075900,2029500,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,8,FALSE,H,FALSE,866857.1429,748714.2857,761714.2857,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,8,FALSE,V,FALSE,19052347038,36163564747,2184004308,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,9,FALSE,H,FALSE,452285.7143,361142.8571,414714.2857,,,CtenRNAV,,
ex35 ,Replete/Fe-limited,12,FALSE,H,FALSE,4714.285714,3000,3714.285714,,,CtenRNAV,,
ex35 ,Fe-Limited,0,FALSE,H,TRUE,5.00E+05,5.00E+05,5.00E+05,,,NA,,
ex35 ,Fe-Limited,1,FALSE,H,TRUE,767153.8462,670000,827153.8462,,,NA,,
ex35 ,Fe-Limited,2,FALSE,H,TRUE,1068714.286,1133285.714,1116142.857,,,NA,,
ex35 ,Fe-Limited,5,FALSE,H,TRUE,1871100,1739300,1894700,,,NA,,
ex35 ,Fe-Limited,6,FALSE,H,TRUE,2028300,2086600,2112000,,,NA,,
ex35 ,Fe-Limited,7,FALSE,H,TRUE,2373500,2250400,2343400,,,NA,,
ex35 ,Fe-Limited,8,FALSE,H,TRUE,2235428.571,2640142.857,2492571.429,,,NA,,
ex35 ,Fe-Limited,9,FALSE,H,TRUE,2312857.143,2379571.429,2508428.571,,,NA,,
ex35 ,Fe-Limited,12,FALSE,H,TRUE,2156000,2011714.286,2378714.286,,,NA,,
ex35 ,Fe-Limited,0,FALSE,H,FALSE,5.00E+05,5.00E+05,5.00E+05,,,CtenDNAV,,
ex35 ,Fe-Limited,0,FALSE,V,FALSE,7500000,7500000,7500000,,,CtenDNAV,,
ex35 ,Fe-Limited,1,FALSE,H,FALSE,746076.9231,789846.1538,801230.7692,,,CtenDNAV,,
ex35 ,Fe-Limited,2,FALSE,H,FALSE,1080428.571,1083428.571,1025428.571,,,CtenDNAV,,
ex35 ,Fe-Limited,2,FALSE,V,FALSE,58245879,NA,58245879,,,CtenDNAV,,
ex35 ,Fe-Limited,5,FALSE,H,FALSE,1496800,1506900,NA,,,CtenDNAV,,
ex35 ,Fe-Limited,6,FALSE,H,FALSE,1468300,1470300,1298900,,,CtenDNAV,,
ex35 ,Fe-Limited,7,FALSE,H,FALSE,1380800,1334300,1279600,,,CtenDNAV,,
ex35 ,Fe-Limited,8,FALSE,H,FALSE,1028571.429,996285.7143,908000,,,CtenDNAV,,
ex35 ,Fe-Limited,8,FALSE,V,FALSE,23979148574,NA,12284626584,,,CtenDNAV,,
ex35 ,Fe-Limited,9,FALSE,H,FALSE,782000,760857.1429,731857.1429,,,CtenDNAV,,
ex35 ,Fe-Limited,12,FALSE,H,FALSE,283714.2857,210428.5714,205571.4286,,,CtenDNAV,,
ex35 ,Fe-Limited,12,FALSE,V,FALSE,7740951972,8423810437,16267880240,,,CtenDNAV,,
ex35 ,Fe-Limited+V,0,FALSE,H,FALSE,5.00E+05,5.00E+05,5.00E+05,,,CtenRNAV,,
ex35 ,Fe-Limited+V,0,FALSE,V,FALSE,7500000,7500000,7500000,,,CtenRNAV,,
ex35 ,Fe-Limited+V,1,FALSE,H,FALSE,749000,838076.9231,765923.0769,,,CtenRNAV,,
ex35 ,Fe-Limited+V,2,FALSE,H,FALSE,1117285.714,1030571.429,1065285.714,,,CtenRNAV,,
ex35 ,Fe-Limited+V,2,FALSE,V,FALSE,1905234,8423810,NA,,,CtenRNAV,,
ex35 ,Fe-Limited+V,5,FALSE,H,FALSE,1055000,1948900,1714600,,,CtenRNAV,,
ex35 ,Fe-Limited+V,6,FALSE,H,FALSE,1721900,1850800,1851300,,,CtenRNAV,,
ex35 ,Fe-Limited+V,7,FALSE,H,FALSE,1890300,1913900,1868300,,,CtenRNAV,,
ex35 ,Fe-Limited+V,8,FALSE,H,FALSE,1532571.429,1524571.429,1357142.857,,,CtenRNAV,,
ex35 ,Fe-Limited+V,8,FALSE,V,FALSE,NA,1905234703,8423810437,,,CtenRNAV,,
ex35 ,Fe-Limited+V,9,FALSE,H,FALSE,1019000,1079428.571,883285.7143,,,CtenRNAV,,
ex35 ,Fe-Limited+V,12,FALSE,H,FALSE,90142.85714,121000,99285.71429,,,CtenRNAV,,
ex35 ,Fe-Limited+V,12,FALSE,V,FALSE,6216759243,466888796,1377764133,,,CtenRNAV,,
ex4,Replete,0,FALSE,H,TRUE,2046150,2046150,2046150,,,NA,,
ex4,Replete,1,FALSE,H,TRUE,3014700,2969400,3052950,,,NA,,
ex4,Replete,2,FALSE,H,TRUE,3335400,3291900,3392550,,,NA,,
ex4,Replete,3,FALSE,H,TRUE,4860000,4771200,4766100,,,NA,,
ex4,Replete,4,FALSE,H,TRUE,6516900,6273150,6624450,,,NA,,
ex4,Replete,5,FALSE,H,TRUE,7928100,7611750,7745400,,,NA,,
ex4,Replete,6,FALSE,H,TRUE,8343750,8512950,8386500,,,NA,,
ex4,Replete,7,FALSE,H,TRUE,8079000,8372100,8412450,,,NA,,
ex4,Replete,8,FALSE,H,TRUE,NA,NA,NA,,,NA,,
ex4,Replete,9,FALSE,H,TRUE,NA,NA,NA,,,NA,,
ex4,Fe-Limited,0,FALSE,H,TRUE,915750,915750,915750,,,NA,,
ex4,Fe-Limited,1,FALSE,H,TRUE,1193700,1187700,1138950,,,NA,,
ex4,Fe-Limited,2,FALSE,H,TRUE,1636500,1642500,1645200,,,NA,,
ex4,Fe-Limited,3,FALSE,H,TRUE,1968150,1885200,1970550,,,NA,,
ex4,Fe-Limited,4,FALSE,H,TRUE,2247150,2162850,2105850,,,NA,,
ex4,Fe-Limited,5,FALSE,H,TRUE,2213850,2272800,2170200,,,NA,,
ex4,Fe-Limited,6,FALSE,H,TRUE,2283450,2281950,2208900,,,NA,,
ex4,Fe-Limited,7,FALSE,H,TRUE,2048100,2041650,2048850,,,NA,,
ex4,Fe-Limited,8,FALSE,H,TRUE,2380200,2254050,2145900,,,NA,,
ex4,Fe-Limited,9,FALSE,H,TRUE,2327550,2307000,2210850,,,NA,,
ex4,Replete,1,FALSE,H,FALSE,3094050,3084600,3100350,,,CtenDNAV,,
ex4,Replete,2,FALSE,H,FALSE,3310650,3310200,3385950,,,CtenDNAV,,
ex4,Replete,3,FALSE,H,FALSE,4379550,4425750,4398900,,,CtenDNAV,,
ex4,Replete,4,FALSE,H,FALSE,5002500,5136450,5034150,,,CtenDNAV,,
ex4,Replete,5,FALSE,H,FALSE,5186100,5120850,4843050,,,CtenDNAV,,
ex4,Replete,6,FALSE,H,FALSE,2271900,2691750,2936250,,,CtenDNAV,,
ex4,Replete,7,FALSE,H,FALSE,NA,NA,NA,,,CtenDNAV,,
ex4,Replete,8,FALSE,H,FALSE,NA,NA,NA,,,CtenDNAV,,
ex4,Replete,9,FALSE,H,FALSE,NA,NA,NA,,,CtenDNAV,,
ex4,Fe limited,1,FALSE,H,FALSE,1183200,1165500,1144200,,,CtenDNAV,,
ex4,Fe limited,2,FALSE,H,FALSE,1649550,1717500,1636500,,,CtenDNAV,,
ex4,Fe limited,3,FALSE,H,FALSE,2013600,1993500,2022600,,,CtenDNAV,,
ex4,Fe limited,4,FALSE,H,FALSE,2244150,2165100,2242350,,,CtenDNAV,,
ex4,Fe limited,5,FALSE,H,FALSE,2170650,2193000,2249400,,,CtenDNAV,,
ex4,Fe limited,6,FALSE,H,FALSE,2186250,2117100,2219400,,,CtenDNAV,,
ex4,Fe limited,7,FALSE,H,FALSE,1537800,1672200,1601550,,,CtenDNAV,,
ex4,Fe limited,8,FALSE,H,FALSE,621450,745800,568650,,,CtenDNAV,,
ex4,Fe limited,9,FALSE,H,FALSE,NA,NA,NA,,,CtenDNAV,,
ex31,Replete,0,FALSE,H,TRUE,560916.6667,560916.6667,560916.6667,,,NA,,
ex31,Replete,1,FALSE,H,TRUE,1029400,1214100,1119400,,,NA,,
ex31,Replete,2,FALSE,H,TRUE,1238800,1327400,1508300,,,NA,,
ex31,Replete,3,FALSE,H,TRUE,1770600,1664500,1953000,,,NA,,
ex31,Replete,4,FALSE,H,TRUE,2749500,3027500,2975300,,,NA,,
ex31,Replete,6,FALSE,H,TRUE,3575250,2523375,2957375,,,NA,,
ex31,Replete,0,FALSE,H,FALSE,560916.6667,560916.6667,560916.6667,,,CtenDNAV,,
ex31,Replete,0,FALSE,V,FALSE,5.00E+06,5.00E+06,5.00E+06,,,CtenDNAV,,
ex31,Replete,1,FALSE,H,FALSE,1086800,1112900,1115700,,,CtenDNAV,,
ex31,Replete,2,FALSE,H,FALSE,1353800,1378400,1370700,,,CtenDNAV,,
ex31,Replete,3,FALSE,H,FALSE,1558300,1580500,1553600,,,CtenDNAV,,
ex31,Replete,4,FALSE,H,FALSE,1028600,938600,934700,,,CtenDNAV,,
ex31,Replete,6,FALSE,H,FALSE,5250,6000,3750,,,CtenDNAV,,
ex31,Replete,6,FALSE,V,FALSE,1.02E+11,34964187764,28726520984,,,CtenDNAV,,
ex31,Si-Limited,0,FALSE,H,TRUE,560916.6667,560916.6667,560916.6667,,,NA,,
ex31,Si-Limited,1,FALSE,H,TRUE,506800,481300,550300,,,NA,,
ex31,Si-Limited,2,FALSE,H,TRUE,480200,555800,537800,,,NA,,
ex31,Si-Limited,3,FALSE,H,TRUE,503700,510100,561600,,,NA,,
ex31,Si-Limited,4,FALSE,H,TRUE,556200,510600,595800,,,NA,,
ex31,Si-Limited,6,FALSE,H,TRUE,482625,444875,386875,,,NA,,
ex31,Si-Limited,0,FALSE,H,TRUE,560916.6667,560916.6667,560916.6667,,,CtenDNAV,,
ex31,Si-Limited,0,FALSE,V,FALSE,5.00E+06,5.00E+06,5.00E+06,,,CtenDNAV,,
ex31,Si-Limited,1,FALSE,H,FALSE,537500,494700,522600,,,CtenDNAV,,
ex31,Si-Limited,2,FALSE,H,FALSE,392900,412300,412000,,,CtenDNAV,,
ex31,Si-Limited,3,FALSE,H,FALSE,121400,71700,69600,,,CtenDNAV,,
ex31,Si-Limited,4,FALSE,H,FALSE,33400,17700,16700,,,CtenDNAV,,
ex31,Si-Limited,4,FALSE,V,FALSE,26711397968,31413913097,22632840003,,,CtenDNAV,,
ex31,Si-Limited,6,FALSE,H,FALSE,0,0,0,,,CtenDNAV,,
ex40,Replete,0,FALSE,H,TRUE,213900,190500,269800,,,NA,,
ex40,Replete,0.083333333,FALSE,H,TRUE,216857.1429,176000,286785.7143,,,NA,,
ex40,Replete,0.416666667,FALSE,H,TRUE,334142.8571,320714.2857,428285.7143,,,NA,,
ex40,Replete,1,FALSE,H,TRUE,437000,404142.8571,539785.7143,,,NA,,
ex40,Replete,2,FALSE,H,TRUE,890142.8571,811428.5714,1006428.571,,,NA,,
ex40,Replete,3,FALSE,H,TRUE,1491285.714,1355000,1669857.143,,,NA,,
ex40,Replete,4,FALSE,H,TRUE,2444000,2024714.286,2496428.571,,,NA,,
ex40,Replete,5,FALSE,H,TRUE,3131142.857,2758285.714,2727571.429,,,NA,,
ex40,Replete,6,FALSE,H,TRUE,2984571.429,2799142.857,2691000,,,NA,,
ex40,Replete,7,FALSE,H,TRUE,2937857.143,2833714.286,2789000,,,NA,,
ex40,Replete,8,FALSE,H,TRUE,2537857.143,2557857.143,2153571.429,,,NA,,
ex40,Replete,0,FALSE,H,FALSE,232700,226700,191400,,,CtenRNAV,,
ex40,Replete,0,FALSE,V,FALSE,2200000,,,,,CtenRNAV,,
ex40,Replete,0.083333333,FALSE,H,FALSE,228714.2857,171857.1429,181428.5714,,,CtenRNAV,,
ex40,Replete,0.083333333,FALSE,V,FALSE,4668887,764660,,,,CtenRNAV,,
ex40,Replete,0.416666667,FALSE,H,FALSE,,,338142.8571,,,CtenRNAV,,
ex40,Replete,0.416666667,FALSE,V,FALSE,1209960,4668887,3616356,,,CtenRNAV,,
ex40,Replete,1,FALSE,H,FALSE,416571.4286,493571.4286,451928.5714,,,CtenRNAV,,
ex40,Replete,1,FALSE,V,FALSE,2872652,5767596,2203601,,,CtenRNAV,,
ex40,Replete,2,FALSE,H,FALSE,981857.1429,919380.9524,841142.8571,,,CtenRNAV,,
ex40,Replete,2,FALSE,V,FALSE,114535169,36163564,46688879,,,CtenRNAV,,
ex40,Replete,3,FALSE,H,FALSE,1680000,1580571.429,1452000,,,CtenRNAV,,
ex40,Replete,3,FALSE,V,FALSE,842381043,710522519,764660250,,,CtenRNAV,,
ex40,Replete,4,FALSE,H,FALSE,1508571.429,1755714.286,1769857.143,,,CtenRNAV,,
ex40,Replete,4,FALSE,V,FALSE,6216759243,2592360066,1859913931,,,CtenRNAV,,
ex40,Replete,5,FALSE,H,FALSE,1135142.857,1113285.714,1107285.714,,,CtenRNAV,,
ex40,Replete,5,FALSE,V,FALSE,36163564747,36163564747,62167592429,,,CtenRNAV,,
ex40,Replete,6,FALSE,H,FALSE,606000,604714.2857,682428.5714,,,CtenRNAV,,
ex40,Replete,6,FALSE,V,FALSE,36163564747,36163564747,1.15E+11,,,CtenRNAV,,
ex40,Replete,7,FALSE,H,FALSE,206714.2857,204857.1429,233857.1429,,,CtenRNAV,,
ex40,Replete,7,FALSE,V,FALSE,76466025053,84238104375,22036016040,,,CtenRNAV,,
ex40,Replete,8,FALSE,H,FALSE,5000,5714.285714,10000,,,CtenRNAV,,
ex40,Replete,8,FALSE,V,FALSE,62167592429,1.35E+11,,,,CtenRNAV,,
ex40,Replete (CtenDNAV),0,FALSE,H,FALSE,169800,217000,238222.2222,,,CtenDNAV,,
ex40,Replete (CtenDNAV),0,FALSE,V,FALSE,2200000,,,,,CtenDNAV,,
ex40,Replete (CtenDNAV),0.083333333,FALSE,H,FALSE,199285.7143,229714.2857,181142.8571,,,CtenDNAV,,
ex40,Replete (CtenDNAV),0.083333333,FALSE,V,FALSE,6216759,5447640,,,,CtenDNAV,,
ex40,Replete (CtenDNAV),0.416666667,FALSE,H,FALSE,,,343166.6667,,,CtenDNAV,,
ex40,Replete (CtenDNAV),0.416666667,FALSE,V,FALSE,8423810,4422242,2203601,,,CtenDNAV,,
ex40,Replete (CtenDNAV),1,FALSE,H,FALSE,409952.381,468428.5714,380214.2857,,,CtenDNAV,,
ex40,Replete (CtenDNAV),1,FALSE,V,FALSE,23979148,34773751,15869754,,,CtenDNAV,,
ex40,Replete (CtenDNAV),2,FALSE,H,FALSE,801904.7619,977000,790857.1429,,,CtenDNAV,,
ex40,Replete (CtenDNAV),2,FALSE,V,FALSE,347737513,303696965,220360160,,,CtenDNAV,,
ex40,Replete (CtenDNAV),3,FALSE,H,FALSE,1450285.714,1440857.143,1214428.571,,,CtenDNAV,,
ex40,Replete (CtenDNAV),3,FALSE,V,FALSE,4422242574,4668887967,8423810437,,,CtenDNAV,,
ex40,Replete (CtenDNAV),4,FALSE,H,FALSE,1234714.286,1250714.286,1146714.286,,,CtenDNAV,,
ex40,Replete (CtenDNAV),4,FALSE,V,FALSE,15964694045,1859913931,12099607711,,,CtenDNAV,,
ex40,Replete (CtenDNAV),5,FALSE,H,FALSE,232000,104714.2857,92714.28571,,,CtenDNAV,,
ex40,Replete (CtenDNAV),5,FALSE,V,FALSE,28726520984,28726520984,62167592429,,,CtenDNAV,,
ex40,Replete (CtenDNAV),6,FALSE,H,FALSE,51000,24428.57143,7571.428571,,,CtenDNAV,,
ex40,Replete (CtenDNAV),6,FALSE,V,FALSE,22036016040,1.02E+11,1.59E+11,,,CtenDNAV,,
ex40,Replete (CtenDNAV),7,FALSE,H,FALSE,5142.857143,1571.428571,1142.857143,,,CtenDNAV,,
ex40,Replete (CtenDNAV),7,FALSE,V,FALSE,44222425742,36163564747,11453516970,,,CtenDNAV,,
ex26,Replete,0,FALSE,H,TRUE,400333.3333,336857.1429,474333.3333,,,NA,,
ex26,Replete,1,FALSE,H,TRUE,603000,502285.7143,575285.7143,,,NA,,
ex26,Replete,2,FALSE,H,TRUE,832428.5714,789857.1429,889285.7143,,,NA,,
ex26,Replete,8,FALSE,H,TRUE,1883571.429,2035500,1470142.857,,,NA,,
ex26,Replete,0,FALSE,H,FALSE,400333.3333,336857.1429,474333.3333,,,CtenDNAV,,
ex26,Replete,0,FALSE,V,FALSE,842000,2870000,,,,CtenDNAV,,
ex26,Replete,1,FALSE,H,FALSE,487142.8571,512571.4286,506142.8571,,,CtenDNAV,,
ex26,Replete,2,FALSE,H,FALSE,839500,726000,,,,CtenDNAV,,
ex26,Replete,8,FALSE,H,FALSE,222571.4286,200428.5714,104142.8571,,,CtenDNAV,,
ex26,Replete,8,FALSE,V,FALSE,1.38E+10,3.14E+10,,,,CtenDNAV,,
ex26,Fe-Limited,0,FALSE,H,TRUE,240285.7143,274833.3333,290666.6667,,,NA,,
ex26,Fe-Limited,1,FALSE,H,TRUE,300142.8571,290285.7143,321000,,,NA,,
ex26,Fe-Limited,8,FALSE,H,TRUE,165142.8571,143666.6667,145714.2857,,,NA,,
ex26,Fe-Limited,0,FALSE,H,FALSE,240285.7143,274833.3333,290666.6667,,,CtenDNAV,,
ex26,Fe-Limited,0,FALSE,V,FALSE,5820000,445000,,,,CtenDNAV,,
ex26,Fe-Limited,1,FALSE,H,FALSE,322142.8571,301571.4286,317857.1429,,,CtenDNAV,,
ex26,Fe-Limited,2,FALSE,H,FALSE,338428.5714,317142.8571,,,,CtenDNAV,,
ex26,Fe-Limited,2,FALSE,V,FALSE,36200000,58200000,,,,CtenDNAV,,
ex26,Fe-Limited,8,FALSE,H,FALSE,78571.42857,133666.6667,142500,,,CtenDNAV,,
ex26,Fe-Limited,8,FALSE,V,FALSE,2.26E+09,8.42E+08,,,,CtenDNAV,,
ex35,Replete,0,FALSE,H,TRUE,5.00E+05,5.00E+05,5.00E+05,,,NA,,
ex35,Replete,0,FALSE,H,FALSE,5.00E+05,5.00E+05,5.00E+05,,,CtenDNAV,,
ex35,Replete,0,FALSE,V,FALSE,7500000,7500000,7500000,,,CtenDNAV,,
ex35,replete,2,FALSE,H,FALSE,2239428.571,2208428.571,,,,CtenDNAV,,
ex35,Replete,2,FALSE,V,FALSE,6.22E+09,4.67E+09,,,,CtenDNAV,,
ex35,Replete,8,FALSE,H,FALSE,142.8571429,428.5714286,0,,,CtenDNAV,,
ex35,Replete,8,FALSE,V,FALSE,7.11E+10,2.87E+11,1.15E+10,,,CtenDNAV,,
ex35,Fe-Limited,0,FALSE,H,FALSE,5.00E+05,5.00E+05,5.00E+05,,,CtenDNAV,,
ex35,Fe-Limited,0,FALSE,V,FALSE,7500000,7500000,7500000,,,CtenDNAV,,
ex35,Fe-Limited,2,FALSE,H,FALSE,1080428.571,1025428.571,,,,CtenDNAV,,
ex35,Fe-Limited,2,FALSE,V,FALSE,58200000,7.11E+10,,,,CtenDNAV,,
ex35,Fe-Limited,12,FALSE,H,FALSE,283714.2857,210428.5714,205571.4286,,,CtenDNAV,,
ex35,Fe-Limited,12,FALSE,V,FALSE,7.74E+09,8.42E+09,1.63E+10,,,CtenDNAV,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,